source_frame,crop_id,bbox,complex_label,distance,Anger_prob,Happy_prob,Panic_prob,Sadness_prob,Neutral_prob
cinema_audience_watc_DhrnHAIpx1Q_jpg.rf.ae97889615877c214e82be8696d5155b,crop_000,"[281, 240, 319, 321]",혼란,0.1848,0.2104,0.1195,0.276,0.092,0.3022
cinema_audience_watc_DhrnHAIpx1Q_jpg.rf.ae97889615877c214e82be8696d5155b,crop_001,"[357, 280, 409, 395]",공포,0.3413,0.0504,0.21,0.4111,0.139,0.1895
cinema_audience_watc_DhrnHAIpx1Q_jpg.rf.ae97889615877c214e82be8696d5155b,crop_005,"[87, 253, 130, 339]",공포,0.2494,0.071,0.1753,0.484,0.0993,0.1699
cinema_audience_watc_DhrnHAIpx1Q_jpg.rf.ae97889615877c214e82be8696d5155b,crop_006,"[419, 161, 465, 232]",경멸,0.1396,0.3953,0.0353,0.0974,0.0385,0.4336
cinema_audience_watc_DhrnHAIpx1Q_jpg.rf.ae97889615877c214e82be8696d5155b,crop_008,"[221, 118, 260, 183]",공포,0.0715,0.0145,0.0536,0.8066,0.055,0.0698
cinema_audience_watc_DhrnHAIpx1Q_jpg.rf.ae97889615877c214e82be8696d5155b,crop_009,"[232, 362, 280, 470]",불만,0.3792,0.1837,0.0254,0.0764,0.2654,0.4492
cinema_audience_watc_EBsHWPaXuIw_jpg.rf.50390f9fe577d3af3a2da5005f27836f,crop_001,"[233, 169, 269, 239]",혼란,0.205,0.0736,0.1278,0.416,0.1545,0.228
cinema_audience_watc_FDV1BaKNKEo_jpg.rf.98bf680571c471a8777d9699664ad372,crop_004,"[257, 205, 294, 281]",혼란,0.2208,0.0592,0.1298,0.3672,0.1924,0.2515
cinema_audience_watc_FDV1BaKNKEo_jpg.rf.98bf680571c471a8777d9699664ad372,crop_011,"[36, 234, 89, 337]",경멸,0.1389,0.4014,0.0311,0.0894,0.0385,0.4397
cinema_audience_watc_FDV1BaKNKEo_jpg.rf.98bf680571c471a8777d9699664ad372,crop_012,"[0, 429, 43, 512]",혼란,0.1833,0.1387,0.1175,0.4006,0.1023,0.2408
cinema_audience_watc_G16kFHYvCoQ_jpg.rf.4070fd57b3d8e358bff23deb89c1e537,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_HeH9LEn7E10_jpg.rf.f672fd2550497a0f1052f5db3eb0d522,crop_000,"[224, 152, 270, 231]",슬픔,0.1929,0.0031,0.0073,0.0199,0.4836,0.4863
cinema_audience_watc_HeH9LEn7E10_jpg.rf.f672fd2550497a0f1052f5db3eb0d522,crop_001,"[164, 433, 219, 512]",공포,0.2749,0.0607,0.1726,0.424,0.1411,0.2021
cinema_audience_watc_HpIiQ0AgWus_jpg.rf.8c49711032c6222c5128ac3321269fc7,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_HqR6mZvXP8Y_jpg.rf.ce7ad46b0b7932bff30105182957676a,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_JXyJfLxgDQA_jpg.rf.7cf6f7caeacd2966d847b4920f7ca2c2,crop_000,"[254, 109, 301, 181]",혼란,0.1247,0.0301,0.0708,0.5796,0.1447,0.1748
cinema_audience_watc_L7DBxWQb7jQ_jpg.rf.7f1e1edc85cb4aebdd9d7883b2ceb0ae,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_PWaV5g1Cpgs_jpg.rf.8966d36e1eb7db9b884f4886ac25db17,crop_000,"[253, 155, 304, 272]",염려,0.2358,0.0361,0.2664,0.4355,0.113,0.1489
cinema_audience_watc_Ph4H5c63u7Q_jpg.rf.f325489e2a3095b0613174c7861cef0c,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_QHqQsxLMQyQ_jpg.rf.a47240f6f4171cee42a2dc185c2b7a97,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_RsUstd1tiLs_jpg.rf.70c9812118853078e63bda9a72e548b4,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_Rveu2lx22GU_jpg.rf.e99f02e53260e7a107dcf2d54fed1347,crop_000,"[443, 422, 490, 507]",공포,0.0129,0.019,0.002,0.955,0.0025,0.0214996337890625
cinema_audience_watc_Rveu2lx22GU_jpg.rf.e99f02e53260e7a107dcf2d54fed1347,crop_002,"[189, 96, 230, 165]",공포,0.0385,0.0179,0.027,0.882,0.028,0.04541015625
cinema_audience_watc_Rveu2lx22GU_jpg.rf.e99f02e53260e7a107dcf2d54fed1347,crop_006,"[80, 87, 138, 183]",혼란,0.134,0.0631,0.0816,0.504,0.1445,0.20703125
cinema_audience_watc_Rveu2lx22GU_jpg.rf.e99f02e53260e7a107dcf2d54fed1347,crop_008,"[222, 113, 269, 199]",공포,0.0,0.0,0.0,1.0,0.0,0.0
cinema_audience_watc_SZx0VexKXJY_jpg.rf.dc63e5c4b7248b47399a9908da79f80b,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_VfPIpFx4p-s_jpg.rf.820049798e385249cb9375ee6bffe3aa,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_VhSdn8HGbgc_jpg.rf.765c83dfb65ce51ae7afc8bea6aa4e85,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_Vkstnf0Gwn0_jpg.rf.1aa504a2a19ac8eb169529fcef042650,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_VtUeEKDPWrg_jpg.rf.fa5843b79e53f4800bb75c912a670c6f,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_X13X1lSvxSQ_jpg.rf.bafbae30fc779dd2b7d309ff1b327c30,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc__wCylenzxZw_jpg.rf.8e6aaafbd5f8d3a8e48d6df15d82cbbd,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_ctXGtk2Oy-I_jpg.rf.292716c815902896499eced56809f115,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_ddp66SKlsNk_jpg.rf.be4e5e2477da2f1f0c54d1a98091fff2,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_dulGNWIY8DU_jpg.rf.19e7be00c9755a8491030a14e45f2c63,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_g6bHwKYAvNw_jpg.rf.dd0469c7dd71f474f2279203743084ca,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_gcRE88Q9o9w_jpg.rf.5b056ada222e7e31bbe64b2c9fa802f6,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_hF-SdHIU2lQ_jpg.rf.346bcc8576ee62e17cc3d7ae287ef6af,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_j5bRXs1iFy0_jpg.rf.0562404ee627b42dc49495c6b660ddec,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_k1bRs5Nvq4c_jpg.rf.38f654c8e2040f1fc1208da36e37506d,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_mxhWy1td-BE_jpg.rf.5003b09040fd7a5a16fc8300e8b6b100,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_n9E3f3yt010_jpg.rf.179048927eea97e6e0fe111450e6f7ac,crop_000,"[222, 135, 266, 204]",실망,0.3608,0.0323,0.071,0.1812,0.3418,0.374
